"latitude","longitude","trophic_state"
67.332779,-134.844522,"Mesotrophic"
67.34958,-134.923101,"Oligotrophic"
67.417758,-133.922557,"Oligotrophic"
67.381817,-134.040849,"Mesotrophic"
67.468001,-133.763637,"Oligotrophic"
68.344096,-133.705674,"Mesotrophic"
68.350907,-133.708655,"Mesotrophic"
68.232838,-133.44037,"Mesotrophic"
67.46993,-134.72108,"Eutrophic"
67.432054,-134.851562,"Mesotrophic"
68.335154,-133.680514,"Mesotrophic"
67.442962,-134.511877,"Mesotrophic"
60.836026,-116.656975,"Oligotrophic"
60.063822,-116.847789,"Eutrophic"
60.721344,-114.996196,"Mesotrophic"
60.813148,-114.589631,"Oligotrophic"
60.53671,-114.568217,"Mesotrophic"
59.534902,-112.216745,"Oligotrophic"
59.944209,-111.853586,"Mesotrophic"
60.596644,-116.262865,"Mesotrophic"
61.890891,-116.542274,"Mesotrophic"
62.556145,-116.433386,"Oligotrophic"
61.998774,-116.330501,"Oligotrophic"
61.930612,-116.520168,"Mesotrophic"
59.798928,-122.523299,"Mesotrophic"
58.822968,-122.901342,"Eutrophic"
58.623863,-122.693773,"Mesotrophic"
50.313788,-66.428761,"Oligotrophic"
49.869455,-68.732763,"Oligotrophic"
50.365341,-68.818863,"Oligotrophic"
48.248292,-69.637829,"Oligotrophic"
47.534528,-70.232947,"Mesotrophic"
47.685661,-70.349677,"Eutrophic"
48.231271,-71.251055,"Mesotrophic"
46.948182,-71.392515,"Mesotrophic"
48.721602,-71.671653,"Oligotrophic"
50.418743,-71.734219,"Oligotrophic"
50.732795,-71.771475,"Oligotrophic"
48.395105,-71.773708,"Mesotrophic"
48.407729,-71.78678,"Oligotrophic"
45.943917,-73.977427,"Oligotrophic"
45.992729,-74.00935,"Oligotrophic"
48.993311,-74.029437,"Oligotrophic"
48.987717,-74.06735,"Oligotrophic"
45.862265,-74.115675,"Oligotrophic"
50.032073,-74.221815,"Oligotrophic"
45.850978,-74.131647,"Oligotrophic"
45.948099,-74.143866,"Oligotrophic"
45.958676,-74.266369,"Mesotrophic"
46.142222,-74.638943,"Oligotrophic"
46.719648,-75.437263,"Mesotrophic"
46.450343,-75.551099,"Mesotrophic"
45.902448,-75.605782,"Oligotrophic"
49.87207,-75.664784,"Mesotrophic"
48.214044,-79.052766,"Eutrophic"
45.875279,-75.956424,"Oligotrophic"
46.192548,-76.057327,"Oligotrophic"
45.226736,-76.831453,"Oligotrophic"
48.893947,-76.881395,"Oligotrophic"
45.564777,-77.04943,"Mesotrophic"
45.190967,-77.651071,"Mesotrophic"
48.753092,-77.960512,"Mesotrophic"
47.328987,-78.470022,"Oligotrophic"
48.798152,-78.975731,"Mesotrophic"
46.138734,-79.225947,"Mesotrophic"
47.626548,-79.27745,"Mesotrophic"
44.920063,-79.359743,"Mesotrophic"
46.478829,-80.97293,"Oligotrophic"
49.186723,-80.970066,"Mesotrophic"
49.109138,-81.032121,"Mesotrophic"
48.238266,-81.040785,"Mesotrophic"
47.836499,-83.286417,"Oligotrophic"
46.272242,-83.30755,"Mesotrophic"
47.835215,-83.348195,"Mesotrophic"
49.451178,-56.188657,"Oligotrophic"
48.949782,-55.693761,"Oligotrophic"
47.46447,-52.976425,"Oligotrophic"
47.510293,-52.901442,"Oligotrophic"
47.524518,-52.881807,"Oligotrophic"
