"biomass","density_nopL","length_um","log_length","trophic_group","key"
13.68585,10210,67.3215859649123,1.828154338553,"Autotroph",653
2.138414,5105,24.1236210587762,1.38244249782184,"Autotroph",653
3.464231,5105,16,1.20411998265592,"Mixotroph",653
1.202858,5105,55.6875,1.74575772138095,"Autotroph",653
1.515601,5105,14,1.14612803567824,"Autotroph",653
0.05346036,5105,5,0.698970004336019,"Autotroph",653
4.49067,5105,81.975,1.9136814253414,"Autotroph",653
13.64308,148047,11,1.04139268515823,"Mixotroph",653
7.334761,10210,7,0.845098040014257,"Autotroph",653
5.47434,5105,8,0.903089986991944,"Autotroph",653
3.929336,15315,10,1,NA,653
0.1202858,5105,5,0.698970004336019,NA,653
0.6682545,5105,10,1,"Mixotroph",653
3.421463,15315,24.1236210587762,1.38244249782184,"Autotroph",654
32.33282,35735,12,1.07918124604762,"Autotroph",654
26.17419,45945,17,1.23044892137827,"Mixotroph",654
4.105755,20420,8,0.903089986991944,"Mixotroph",654
1.002382,5105,15,1.17609125905568,"Mixotroph",654
74.8445,5105,70,1.84509804001426,"Autotroph",654
3.207621,5105,12,1.07918124604762,"Mixotroph",654
0.9409023,10210,11,1.04139268515823,"Heterotroph",654
0.3421463,5105,64,1.80617997398389,"Autotroph",654
3.207621,5105,12,1.07918124604762,"Mixotroph",654
2.73717,10210,8,0.903089986991944,"Mixotroph",654
32.87812,209308,12,1.07918124604762,"Mixotroph",654
0.3421463,10210,4,0.602059991327962,"Autotroph",654
7.334761,5105,14,1.14612803567824,"Autotroph",654
30.25589,107206,11,1.04139268515823,NA,654
0.2405716,10210,5,0.698970004336019,NA,654
51.32194,6381,67.3215859649123,1.828154338553,"Autotroph",656
76.98291,6381,67.3215859649123,1.828154338553,"Autotroph",656
363.8645,2552,90,1.95424250943932,"Mixotroph",656
102.6439,6381,8,0.903089986991944,"Autotroph",656
15.15601,25525,14,1.14612803567824,"Mixotroph",656
34.64231,19144,24,1.38021124171161,"Mixotroph",656
19.24573,31906,18,1.25527250510331,"Mixotroph",656
16.98034,12762,21,1.32221929473392,"Mixotroph",656
26.6834,6381,11,1.04139268515823,"Autotroph",656
2.505954,6381,10,1,"Mixotroph",656
80.19054,19144,20,1.30102999566398,"Mixotroph",656
0.5346035,6381,10,1,"Heterotroph",656
1.0692071,25525,54.776391703869,1.73859342049349,"Autotroph",656
0.04677781,6381,7,0.845098040014257,"Autotroph",656
0.1336509,6381,20,1.30102999566398,"Autotroph",656
5.98756,25525,14,1.14612803567824,"Autotroph",656
30.7397,6381,46,1.66275783168157,"Autotroph",656
0.04677781,6381,7,0.845098040014257,"Autotroph",656
0.3742225,12762,7,0.845098040014257,"Autotroph",656
40.09527,6381,30,1.47712125471966,"Mixotroph",656
21.65144,6381,20,1.30102999566398,"Mixotroph",656
0.1804287,6381,6,0.778151250383644,"Mixotroph",656
16.03811,159534,12,1.07918124604762,"Mixotroph",656
1.176128,6381,11,1.04139268515823,"Autotroph",656
21.1703,57432,11,1.04139268515823,NA,656
0.4510717,19144,5,0.698970004336019,NA,656
1.429425,25525,14,1.14612803567824,"Autotroph",655
68.42925,12762,67.3215859649123,1.828154338553,"Autotroph",655
27.79939,76576,24.1236210587762,1.38244249782184,"Autotroph",655
36.08574,12762,24.1236210587762,1.38244249782184,"Autotroph",655
3.742225,63813,7,0.845098040014257,"Autotroph",655
15.15601,25525,14,1.14612803567824,"Mixotroph",655
79.97669,140389,17,1.23044892137827,"Mixotroph",655
55.79256,38288,23,1.36172783601759,"Mixotroph",655
23.09487,12762,24,1.38021124171161,"Mixotroph",655
2.165144,25525,6,0.778151250383644,"Mixotroph",655
1.263001,38288,7,0.845098040014257,"Mixotroph",655
10.02382,51050,15,1.17609125905568,"Mixotroph",655
32.5774,165915,15,1.17609125905568,"Mixotroph",655
4.49067,38288,14,1.14612803567824,"Mixotroph",655
0.1603811,12762,6,0.778151250383644,"Mixotroph",655
5.954147,12762,11,1.04139268515823,"Mixotroph",655
3.528384,38288,11,1.04139268515823,"Heterotroph",655
0.9622864,25525,54.776391703869,1.73859342049349,"Autotroph",655
92.37949,25525,6,0.778151250383644,"Autotroph",655
0.8553657,12762,2,0.301029995663981,"Autotroph",655
4.059646,63813,27,1.43136376415899,"Autotroph",655
0.3207621,12762,24,1.38021124171161,"Autotroph",655
0.4210003,25525,7,0.845098040014257,"Autotroph",655
4.492477,12762,22,1.34242268082221,"Autotroph",655
6.415243,25525,15,1.17609125905568,"Autotroph",655
4.811432,51050,10,1,"Autotroph",655
0.1603811,25525,6,0.778151250383644,"Autotroph",655
0.8553657,25525,8,0.903089986991944,"Autotroph",655
9.729785,165915,7,0.845098040014257,"Mixotroph",655
1.263001,25525,7,0.845098040014257,"Autotroph",655
150.3573,957204,12,1.07918124604762,"Mixotroph",655
2.352256,12762,11,1.04139268515823,"Autotroph",655
2.886859,12762,12,1.07918124604762,"Autotroph",655
1.069207,12762,10,1,"Autotroph",655
0.4276828,12762,4,0.602059991327962,"Autotroph",655
6.682545,12762,10,1,"Autotroph",655
52.39115,204203,10,1,NA,655
2.405716,102101,5,0.698970004336019,NA,655
0.9622864,12762,9,0.954242509439325,"Mixotroph",655
136.8585,10210,67.3215859649123,1.828154338553,"Autotroph",659
1531.447,234834,67.3215859649123,1.828154338553,"Autotroph",659
3.635304,20420,24.1236210587762,1.38244249782184,"Autotroph",659
19.4863,25525,18,1.25527250510331,"Mixotroph",659
4.009527,10210,10,1,"Mixotroph",659
17.32116,5105,20,1.30102999566398,"Mixotroph",659
4.618975,5105,6,0.778151250383644,"Autotroph",659
2.381659,5105,11,1.04139268515823,"Mixotroph",659
0.4811432,5105,55.6875,1.74575772138095,"Autotroph",659
0.6842926,15315,54.776391703869,1.73859342049349,"Autotroph",659
2.389181,5105,52,1.7160033436348,"Autotroph",659
0.4811432,5105,10,1,"Autotroph",659
0.3849146,10210,6,0.778151250383644,"Autotroph",659
15.52489,168467,11,1.04139268515823,"Mixotroph",659
0.3742225,15315,7,0.845098040014257,"Autotroph",659
30.96157,66366,11,1.04139268515823,NA,659
2.004763,15315,10,1,"Mixotroph",659
153.9658,8508,78.8346875,1.89671735042258,"Autotroph",663
16.03811,8508,25,1.39794000867204,"Mixotroph",663
20.56887,25525,19,1.27875360095283,"Mixotroph",663
7.217148,8508,20,1.30102999566398,"Mixotroph",663
24.79669,17016,23,1.36172783601759,"Mixotroph",663
0.3638274,8508,12,1.07918124604762,"Autotroph",663
2.084954,8508,13,1.11394335230684,"Mixotroph",663
16.84001,8508,100,2,"Autotroph",663
3.675399,25525,11,1.04139268515823,"Heterotroph",663
7.350799,34033,55.6875,1.74575772138095,"Autotroph",663
0.9622864,17016,24,1.38021124171161,"Autotroph",663
17.10731,8508,30,1.47712125471966,"Autotroph",663
73.50799,467966,12,1.07918124604762,"Mixotroph",663
0.8910059,42542,20,1.30102999566398,"Autotroph",663
0.2851219,8508,4,0.602059991327962,"Autotroph",663
2.401261,8508,11,1.04139268515823,NA,663
769.8292,19144,78.8346875,1.89671735042258,"Autotroph",664
21.569,44669,65,1.81291335664286,"Autotroph",664
2.292113,6381,7,0.845098040014257,"Autotroph",664
19.4863,51050,9,0.954242509439325,"Autotroph",664
6.842926,12762,16,1.20411998265592,"Mixotroph",664
34.21463,6381,40,1.60205999132796,"Mixotroph",664
2.505954,6381,10,1,"Mixotroph",664
10.26439,6381,16,1.20411998265592,"Mixotroph",664
0.5412861,6381,6,0.778151250383644,"Mixotroph",664
0.2105001,6381,7,0.845098040014257,"Mixotroph",664
2.505954,12762,15,1.17609125905568,"Mixotroph",664
16.23858,57432,15,1.17609125905568,"Mixotroph",664
1.49689,12762,14,1.14612803567824,"Mixotroph",664
0.6949846,6381,13,1.11394335230684,"Mixotroph",664
1.684001,51050,7,0.845098040014257,"Mixotroph",664
5.412861,6381,3,0.477121254719662,"Mixotroph",664
0.9188498,6381,11,1.04139268515823,"Heterotroph",664
0.4276828,12762,54.776391703869,1.73859342049349,"Autotroph",664
0.1737462,6381,26,1.41497334797082,"Autotroph",664
0.3207621,12762,24,1.38021124171161,"Autotroph",664
1.722967,6381,30,1.47712125471966,"Autotroph",664
0.04009527,6381,6,0.778151250383644,"Autotroph",664
1.924573,38288,6,0.778151250383644,"Mixotroph",664
16.5393,114864,11,1.04139268515823,"Mixotroph",664
1.069207,6381,10,1,"Autotroph",664
4.677781,6381,14,1.14612803567824,"Autotroph",664
20.04763,38288,10,1,"Autotroph",664
5.773718,6381,12,1.07918124604762,"Autotroph",664
10.80568,38288,11,1.04139268515823,NA,664
5.132194,6381,67.3215859649123,1.828154338553,"Autotroph",661
4.08407,6381,80,1.90308998699194,"Autotroph",661
7.578006,12762,14,1.14612803567824,"Mixotroph",661
5.773718,6381,12,1.07918124604762,"Autotroph",661
11.54744,6381,24,1.38021124171161,"Mixotroph",661
4.600932,6381,17,1.23044892137827,"Mixotroph",661
11.06629,6381,23,1.36172783601759,"Mixotroph",661
40.09527,12762,10,1,"Autotroph",661
22.55359,57432,10,1,"Mixotroph",661
1.082572,12762,6,0.778151250383644,"Mixotroph",661
1.563715,6381,13,1.11394335230684,"Mixotroph",661
0.4210003,12762,7,0.845098040014257,"Mixotroph",661
3.758931,19144,15,1.17609125905568,"Mixotroph",661
0.6949846,6381,13,1.11394335230684,"Mixotroph",661
0.3007145,6381,20,1.30102999566398,"Autotroph",661
8.019053,12762,12,1.07918124604762,"Mixotroph",661
61.58633,6381,32,1.50514997831991,"Mixotroph",661
0.7217148,12762,6,0.778151250383644,"Autotroph",661
2.042035,6381,80,1.90308998699194,"Autotroph",661
5.132194,19144,8,0.903089986991944,"Mixotroph",661
29.40319,6381,22,1.34242268082221,"Mixotroph",661
12.93741,140389,11,1.04139268515823,"Mixotroph",661
2.75655,12762,11,1.04139268515823,"Autotroph",661
1.786781,6381,70,1.84509804001426,"Autotroph",661
0.2138414,6381,4,0.602059991327962,"Autotroph",661
17.96268,44669,12,1.07918124604762,NA,661
0.1353215,6381,4.5,0.653212513775344,NA,661
171.0731,25525,67.3215859649123,1.828154338553,"Autotroph",660
8.353181,12762,67.3215859649123,1.828154338553,"Autotroph",660
41.05755,12762,67.3215859649123,1.828154338553,"Autotroph",660
25.66097,25525,67.3215859649123,1.828154338553,"Autotroph",660
0.7217148,25525,27,1.43136376415899,"Autotroph",660
1176.128,1378373,24.1236210587762,1.38244249782184,"Autotroph",660
112.5875,76576,24.1236210587762,1.38244249782184,"Autotroph",660
12.02858,12762,3,0.477121254719662,"Autotroph",660
34.21463,25525,8,0.903089986991944,"Autotroph",660
1.710731,12762,4,0.602059991327962,"Autotroph",660
68.42925,127627,16,1.20411998265592,"Mixotroph",660
2.886859,12762,12,1.07918124604762,"Mixotroph",660
10.02382,51050,15,1.17609125905568,"Mixotroph",660
0.4009527,12762,15,1.17609125905568,"Autotroph",660
1.283049,63813,12,1.07918124604762,"Autotroph",660
1.002382,12762,55.6875,1.74575772138095,"Autotroph",660
8.553657,12762,20,1.30102999566398,"Autotroph",660
0.1737462,12762,13,1.11394335230684,"Autotroph",660
2.779938,102101,26,1.41497334797082,"Autotroph",660
0.9923579,38288,11,1.04139268515823,"Autotroph",660
1.871113,25525,70,1.84509804001426,"Autotroph",660
0.09355562,12762,7,0.845098040014257,"Autotroph",660
2.871612,12762,36,1.55630250076729,"Autotroph",660
4.594579,12762,40,1.60205999132796,"Autotroph",660
12.17894,25525,15,1.17609125905568,"Autotroph",660
2.405716,12762,10,1,"Autotroph",660
2.96705,255254,6,0.778151250383644,"Autotroph",660
835.3181,12762,50,1.69897000433602,"Autotroph",660
