Taxa_Name;Author;Phytobs_Taxa_Code;Phytoplankton_Group;Phylum;Class;Order;Family;Genus;Species;Life_Form;Life_Form2;Phytobs_Cell_Form;Phytobs_Ind_Form;Min_Width;Max_Width;Min_Length;max_Lenght;Cell_Biovolume;Ind_Biovolume;Carbon;Min_Size_Ind;Max_Size_Ind;Ignatiades_Size_Class;Motility;Flagellum;Nb_Flagellum;Aerotope;Contractile_Vacuole;Mucilage;Akinete;Heterocyte;Cyst;Plast;Nb_Plast;Sheath;Tractus;Siciliceous_Skeleton;Lorica;Plate;Scale;Ornamentation;Protuberance;Protuberance_Type;Protuberance_Size;Nb_Protuberance;Chlo_B;Chlo_C;Xanthophyll;Phycobilin;Toxin;Microcystin;Anatoxin-a;Anatoxin-a(S);Cylindrospermopsin;Saxitoxin;BMAA;Nutrition;Reproduction;Water_Type;Water_Trophy;Tolerance;Reynolds_Group
Actinastrum hantzschii;Lagerheim;ACSHAN;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Actinastrum;Actinastrum hantzschii;Col.;Cel.;Cylinder;#NA;1.5;6;7;25;129;1032;20.72;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Ankistrodesmus;Corda;ANKSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;;Col.;Cel.;Double Cone ;#NA;1;7;4;165;229;916;35.51;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankistrodesmus arcuatus;Korshikov;ANKARC;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;Ankistrodesmus arcuatus;Cel.;None;Double Cone ;Double Cone ;0.8;4.5;18;90;34;34;5.92;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankistrodesmus bernardii;Komárek;ANKBER;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;Ankistrodesmus bernardii;Col.;None;Double Cone ;#NA;1.5;2.5;42.5;58.5;26;#NA;4.60;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater-marine water;Hypereutrophic;Stratification;X1
Ankistrodesmus falcatus;(Corda) Ralfs;ANKFAL;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;Ankistrodesmus falcatus;Col.;None;Double Cone ;#NA;1;7;20;165;174;696;27.44;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankistrodesmus fusiformis;Corda;ANKFUS;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;Ankistrodesmus fusiformis;Col.;None;Double Cone ;#NA;1;4.3;19;57;117;468;18.90;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankistrodesmus spiralis;(Turner) Lemmermann;ANKSPI;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Ankistrodesmus;Ankistrodesmus spiralis;Col.;None;Double Cone ;#NA;1;4.3;20;68;228;#NA;35.36;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankyra;Fott;ANYSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Characiaceae;Ankyra;;Cel.;None;Double Cone ;Double Cone ;1;14;10;150;90;90;14.77;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Needle;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankyra ancora;(Smith) Fott;ANYANC;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Characiaceae;Ankyra;Ankyra ancora;Cel.;None;Double Cone ;Double Cone ;5;14;35;150;104;104;16.92;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Needle;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Ankyra inerme;Reymond and Druart;ANYINE;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Characiaceae;Ankyra;Ankyra inerme;Cel.;None;Double Cone ;Double Cone ;1;7.8;10;56;30;30;5.27;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
