"Citation: Perkins, S. R., Stouder, M. D. W.,  and Beaulieu, K. 2021, Phytoplankton Data from Owasco, Seneca, and Skaneateles Lakes, Finger Lakes Region, New York, 2019-2020 (ver. 2.1, June 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P9TP9T1D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,STATION_ID,SAMPLE_DATE,SAMPLE_TIME_EST,REPLICATE,DEPTH_FT,ANALYSIS_DATE,MOUNT_VOLUME_HPMA,REPORT_NOTE,TAXA_ID,DIVISION,CLASS,ORDER,FAMILY,GENUS,SPECIES,VARIETY,FORM,MORPH,COLONIALITY,COLONIALITY_STATE,STRUCTURE,PHYSIOLOGICAL_STATE,TAXONOMIC_AUTHORITY,MAGNIFICATION,AREA_PER_NATURAL_UNIT.UM2_PER_NU,VOLUME_PER_NATURAL_UNIT.UM3_PER_NU,BIOVOLUME_PER_NATURAL_UNIT.UM3_PER_NU,AVERAGE_CELLS_PER_NATURAL_UNIT.CELLS_PER_NU,CONCENTRATION.NU_PER_ML,FIELD_COUNT,FIELD_AREA.UM2,TOTAL_AREA.UM2_PER_ML,TOTAL_VOLUME.UM3_PER_ML,TOTAL_BIOVOLUME.UM3_PER_ML,ALGAL_CELL_CONCENTRATION.CELLS_PER_ML,ALGAL_BIOMASS_CONCENTRATION.MG_PER_L,AVERAGE_GALD.UM,UNCERTAIN,ALTERNATE_TAXA_NAME,MEASUREMENT_NOTES,TALLY_NOTES
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1343,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,pediculus,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,( Kutzing )  Grunow,400,136.0758,145.7699,145.7699,1,12.0989,30,0.1452,1646.369,1763.6571,1763.6571,12.0989,0.00176366,8,FALSE,Amphora perpusilla,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1066,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconiedaceae,Cocconeis,pediculus,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Ehrenb,100,1099.5574,1884.9556,1884.9556,1,0.3652,30,2.4053,401.5425,688.3587,688.3587,0.3652,0.00068836,24,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,9363,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,ocellata,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Pant,1000,72.3823,43.4294,43.4294,1,21.8684,100,0.0241,1582.8855,949.7317,949.7317,21.8684,0.00094973,4.8,TRUE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1071,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,sp-- 1,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Kutzing) de Brebisson,1000,47.2496,23.0886,23.0886,1,54.671,100,0.0241,2583.1835,1262.2772,1262.2772,54.671,0.00126228,3.8667,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1533,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Denticula,kuetzingii,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Grunow,400,175.9292,150.7964,150.7964,1,6.0495,30,0.1452,1064.2759,912.2361,912.2361,6.0495,0.00091224,12,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1109,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma,tenuis,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Agardh,400,2400.1768,2287.0795,2287.0795,4.5,12.0989,30,0.1452,29039.5259,27671.1718,27671.1718,54.4451,0.02767117,162,FALSE,"Diatoma tenuis, Diatoma tenuis var. elongatum",--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1152,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,--,--,--,Lateral-Filament,Attached,Vegetative,Live,Kitton,100,10364.7425,12465.8396,12465.8396,8.0645,0.3652,30,2.4053,3785.0548,4552.3453,4552.3453,2.945,0.00455235,80,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1240,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,--,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Pant) R Ross,400,2368,4480,4480,1,6.0495,30,0.1452,14325.1108,27101.5611,27101.5611,6.0495,0.02710156,70,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,2683,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,--,--,--,--,2-9--9 um spherical,Cell-Nonmotile,Free,Vegetative,Live,--,1000,20.2319,8.9556,8.9556,1,54.671,100,0.0241,1106.0985,489.6117,489.6117,54.671,0.00048961,2.5,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,2080,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Ehrenberg,400,136.957,147.0894,147.0894,1,12.0989,30,0.1452,1657.0306,1779.6216,1779.6216,12.0989,0.00177962,8,FALSE,--,--,--
