"contrast","trophic_group","estimate","SE","p.value"
"Oligotrophic - Mesotrophic","Autotroph",-0.112,0.102,"0.52"
"Oligotrophic - Eutrophic","Autotroph",-0.904,0.108,"<0.001"
"Mesotrophic - Eutrophic","Autotroph",-0.792,0.106,"<0.001"
"Oligotrophic - Mesotrophic","Mixotroph",0.103,0.128,"0.7"
"Oligotrophic - Eutrophic","Mixotroph",0.28,0.162,"0.194"
"Mesotrophic - Eutrophic","Mixotroph",0.177,0.155,"0.491"
"Oligotrophic - Mesotrophic","Herbivore",0.189,0.227,"0.685"
"Oligotrophic - Eutrophic","Herbivore",-0.138,0.216,"0.8"
"Mesotrophic - Eutrophic","Herbivore",-0.326,0.213,"0.277"
"Oligotrophic - Mesotrophic","Non-herbivore",-0.147,0.227,"0.794"
"Oligotrophic - Eutrophic","Non-herbivore",0.121,0.219,"0.846"
"Mesotrophic - Eutrophic","Non-herbivore",0.267,0.208,"0.405"
