"term","estimate","se","t_value","p_value"
"Intercept (Oligotrophic × Autotroph)",-0.349,0.062,-5.586,"<0.001"
"Mesotrophic",0.112,0.084,1.327,"0.185"
"Eutrophic",0.904,0.12,7.521,"<0.001"
"Mixotroph",1.52,0.113,13.392,"<0.001"
"Herbivore",0.178,0.215,0.831,"0.406"
"Non-herbivore",-0.215,0.193,-1.113,"0.266"
"Mesotrophic × Mixotroph",-0.215,0.152,-1.416,"0.157"
"Eutrophic × Mixotroph",-1.183,0.209,-5.673,"<0.001"
"Mesotrophic × Herbivore",-0.3,0.271,-1.108,"0.268"
"Eutrophic × Herbivore",-0.766,0.278,-2.754,"0.006"
"Mesotrophic × Non-herbivore",0.035,0.251,0.14,"0.889"
"Eutrophic × Non-herbivore",-1.024,0.261,-3.925,"<0.001"
